Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Wins,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
Washington Capitals,2013-14,82,38,30,0,14,90,28,.549,225,229,10,2.74,2.79,23.4,82.0,29.4,33.5,48.4
Nashville Predators,2013-14,82,38,32,0,12,88,36,.537,214,233,2,2.61,2.84,18.8,80.3,29.0,28.9,53.1
Carolina Hurricanes,2000-01,82,38,32,9,3,88,0,.537,212,225,0,2.59,2.74,18.8,87.2,27.0,26.9,54.9
St. Louis Blues,2010-11,82,38,33,0,11,87,34,.530,236,228,4,2.88,2.78,18.3,81.7,30.2,27.7,47.3
New York Rangers,2009-10,82,38,33,0,11,87,35,.530,219,214,3,2.67,2.61,18.3,84.3,29.6,29.9,49.2
Minnesota Wild,2015-16,82,38,33,0,11,87,35,.530,213,204,3,2.60,2.49,18.5,77.9,29.0,28.6,52.5
Edmonton Oilers,2008-09,82,38,35,0,9,85,32,.518,228,244,6,2.78,2.98,16.9,77.5,28.1,32.5,47.9
Florida Panthers,2007-08,82,38,35,0,9,85,33,.518,211,220,5,2.57,2.68,18.8,82.3,31.1,33.6,48.8
Ottawa Senators,2015-16,82,38,35,0,9,85,32,.518,230,241,6,2.80,2.94,15.8,75.8,28.4,32.8,50.6
Minnesota Wild,2009-10,82,38,36,0,8,84,33,.512,214,239,5,2.61,2.91,19.1,82.7,27.6,29.5,52.2
Toronto Maple Leafs,2013-14,82,38,36,0,8,84,29,.512,222,252,9,2.71,3.07,19.8,78.3,27.9,35.9,48.3
Tampa Bay Lightning,2011-12,82,38,36,0,8,84,35,.512,232,278,3,2.83,3.39,15.2,79.2,27.2,30.5,48.6
Minnesota Wild,2005-06,82,38,36,0,8,84,33,.512,226,212,5,2.76,2.59,16.8,87.4,26.8,30.0,48.3
New Jersey Devils,2015-16,82,38,36,0,8,84,36,.512,182,202,2,2.22,2.46,19.9,83.0,24.4,28.6,46.4
Phoenix Coyotes,2007-08,82,38,37,0,7,83,33,.506,209,225,5,2.55,2.74,18.6,80.7,30.5,30.7,48.6
Montréal Canadiens,2015-16,82,38,38,0,6,82,33,.500,216,233,5,2.63,2.84,16.2,81.9,30.5,29.4,50.3
Phoenix Coyotes,2005-06,82,38,39,0,5,81,34,.494,242,268,4,2.95,3.27,17.2,80.9,28.3,30.2,49.2
New Jersey Devils,2010-11,82,38,39,0,5,81,35,.494,171,207,3,2.09,2.52,13.9,83.4,28.6,26.2,51.2
Toronto Maple Leafs,2000-01,82,37,29,11,5,90,0,.549,232,207,0,2.83,2.52,16.1,85.0,27.8,27.4,52.8
Calgary Flames,2011-12,82,37,29,0,16,90,34,.549,199,217,3,2.43,2.65,16.9,84.3,27.5,30.8,46.2
Phoenix Coyotes,2013-14,82,37,30,0,15,89,31,.543,210,224,6,2.56,2.73,19.5,79.0,30.5,31.0,52.0
Ottawa Senators,2013-14,82,37,31,0,14,88,30,.537,229,258,7,2.79,3.15,18.8,80.9,32.8,34.7,51.2
Dallas Stars,2009-10,82,37,31,0,14,88,30,.537,230,244,7,2.80,2.98,18.6,77.4,30.8,31.2,48.1
Florida Panthers,2005-06,82,37,34,0,11,85,33,.518,236,252,4,2.88,3.07,15.6,82.3,33.2,34.8,50.7
Toronto Maple Leafs,2010-11,82,37,34,0,11,85,32,.518,213,245,5,2.60,2.99,15.9,77.5,28.8,31.0,50.4
Buffalo Sabres,2003-04,82,37,34,7,4,85,0,.518,220,221,0,2.68,2.70,15.5,84.8,28.1,28.5,50.2
Winnipeg Jets,2011-12,82,37,35,0,10,84,33,.512,221,242,4,2.70,2.95,17.9,80.1,30.1,30.1,49.0
Winnipeg Jets,2013-14,82,37,35,0,10,84,29,.512,219,231,8,2.67,2.82,15.4,83.2,30.7,30.1,46.9
Tampa Bay Lightning,2002-03,82,36,25,16,5,93,0,.567,219,210,0,2.67,2.56,17.9,82.6,29.2,28.0,50.2
Edmonton Oilers,2002-03,82,36,26,11,9,92,0,.561,231,230,0,2.82,2.80,14.5,82.6,28.0,27.4,51.1
Dallas Stars,2001-02,82,36,28,13,5,90,0,.549,215,213,0,2.62,2.60,17.1,81.5,28.5,26.0,52.8
Vancouver Canucks,2000-01,82,36,28,11,7,90,0,.549,239,238,0,2.91,2.90,17.1,80.9,29.7,25.9,46.9
Edmonton Oilers,2003-04,82,36,29,12,5,89,0,.543,221,208,0,2.70,2.54,13.0,81.1,28.4,26.5,50.9
Boston Bruins,2000-01,82,36,30,8,8,88,0,.537,227,249,0,2.77,3.04,16.4,82.8,28.8,26.7,49.2
Montréal Canadiens,2001-02,82,36,31,12,3,87,0,.530,207,209,0,2.52,2.55,14.9,86.3,25.5,31.7,52.8
Boston Bruins,2002-03,82,36,31,11,4,87,0,.530,245,237,0,2.99,2.89,18.1,82.7,32.1,28.3,49.6
Washington Capitals,2001-02,82,36,33,11,2,85,0,.518,228,240,0,2.78,2.93,19.4,82.2,28.0,28.7,53.3
Ottawa Senators,2008-09,82,36,35,0,11,83,32,.506,213,231,4,2.60,2.82,19.5,81.5,29.3,28.5,51.8
Toronto Maple Leafs,2007-08,82,36,35,0,11,83,33,.506,228,256,3,2.78,3.12,17.8,78.1,31.0,29.3,49.8
Dallas Stars,2008-09,82,36,35,0,11,83,30,.506,224,251,6,2.73,3.06,15.4,78.6,28.9,28.1,47.8
Vancouver Canucks,2013-14,82,36,35,0,11,83,31,.506,191,216,5,2.33,2.63,15.2,83.2,30.8,28.4,51.4
