Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Wins,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
Columbus Blue Jackets,2002-03,82,29,42,8,3,69,0,.421,213,263,0,2.60,3.21,17.3,85.3,26.1,32.2,48.6
Edmonton Oilers,2013-14,82,29,44,0,9,67,25,.409,199,267,4,2.43,3.26,16.6,82.1,26.9,32.9,49.0
Florida Panthers,2013-14,82,29,45,0,8,66,21,.402,188,262,8,2.29,3.20,10.0,76.0,29.9,31.1,48.3
Columbus Blue Jackets,2011-12,82,29,46,0,7,65,25,.396,198,257,4,2.41,3.13,15.1,76.6,29.9,30.9,50.9
Montréal Canadiens,2012-13,48,29,14,0,5,63,26,.656,146,124,3,3.04,2.58,20.7,79.8,30.6,26.9,49.8
St. Louis Blues,2012-13,48,29,17,0,2,60,24,.625,124,114,5,2.58,2.38,18.8,84.7,27.8,24.2,50.7
Los Angeles Kings,2003-04,82,28,29,16,9,81,0,.494,205,217,0,2.50,2.65,14.0,80.7,28.6,27.0,51.1
Carolina Hurricanes,2003-04,82,28,34,14,6,76,0,.463,172,209,0,2.10,2.55,10.7,81.6,29.2,26.2,54.9
Florida Panthers,2003-04,82,28,35,15,4,75,0,.457,188,221,0,2.29,2.70,16.8,86.4,27.7,34.5,46.1
San Jose Sharks,2002-03,82,28,37,9,8,73,0,.445,214,239,0,2.61,2.91,18.1,81.0,28.1,29.2,50.3
Columbus Blue Jackets,2000-01,82,28,39,9,6,71,0,.433,190,233,0,2.32,2.84,14.4,80.7,25.4,30.2,50.5
Montréal Canadiens,2000-01,82,28,40,8,6,70,0,.427,206,232,0,2.51,2.83,16.1,82.2,26.2,28.0,49.5
Washington Capitals,2006-07,82,28,40,0,14,70,27,.427,234,275,1,2.85,3.35,16.4,80.2,28.0,33.3,49.8
Nashville Predators,2001-02,82,28,41,13,0,69,0,.421,196,230,0,2.39,2.80,14.2,85.9,24.6,28.2,46.9
Pittsburgh Penguins,2001-02,82,28,41,8,5,69,0,.421,198,249,0,2.41,3.04,14.0,83.8,27.0,29.2,47.1
Boston Bruins,2012-13,48,28,14,0,6,62,24,.646,127,106,4,2.65,2.21,13.9,87.1,32.4,28.6,56.4
Nashville Predators,2002-03,82,27,35,13,7,74,0,.451,183,206,0,2.23,2.51,13.9,82.7,28.2,27.5,48.5
Calgary Flames,2000-01,82,27,36,15,4,73,0,.445,197,236,0,2.40,2.88,14.5,79.9,27.2,27.1,51.6
Buffalo Sabres,2002-03,82,27,37,10,8,72,0,.439,190,219,0,2.32,2.67,14.4,85.4,28.6,28.0,50.1
Tampa Bay Lightning,2001-02,82,27,40,11,4,69,0,.421,178,219,0,2.17,2.67,15.1,85.3,26.6,30.8,47.0
New York Rangers,2003-04,82,27,40,7,8,69,0,.421,206,250,0,2.51,3.05,14.3,79.4,29.5,29.2,51.3
Los Angeles Kings,2006-07,82,27,41,0,14,68,23,.415,223,277,4,2.72,3.38,18.3,77.8,31.0,29.8,47.7
Pittsburgh Penguins,2002-03,82,27,44,6,5,65,0,.396,189,255,0,2.30,3.11,18.3,83.5,25.4,30.9,49.5
Edmonton Oilers,2009-10,82,27,47,0,8,62,19,.378,206,278,8,2.51,3.39,16.9,78.0,28.3,33.1,46.4
Los Angeles Kings,2012-13,48,27,16,0,5,59,25,.615,131,114,2,2.73,2.38,19.9,83.2,29.8,25.0,52.0
Washington Capitals,2012-13,48,27,18,0,3,57,24,.594,146,130,3,3.04,2.71,26.8,77.9,28.1,32.3,50.8
Minnesota Wild,2001-02,82,26,35,12,9,73,0,.445,195,238,0,2.38,2.90,14.7,82.9,23.8,28.0,48.5
Chicago Blackhawks,2005-06,82,26,43,0,13,65,24,.396,209,279,2,2.55,3.40,12.2,83.9,30.2,29.5,48.9
New York Islanders,2008-09,82,26,47,0,9,61,23,.372,198,274,3,2.41,3.34,16.6,79.8,28.9,33.5,45.7
Vancouver Canucks,2012-13,48,26,15,0,7,59,21,.615,122,115,5,2.54,2.40,15.8,84.0,28.1,28.9,47.6
Toronto Maple Leafs,2012-13,48,26,17,0,5,57,26,.594,145,128,0,3.02,2.67,18.7,87.9,26.3,32.3,50.1
New York Rangers,2012-13,48,26,18,0,4,56,22,.583,126,108,4,2.63,2.25,15.7,81.1,30.9,28.2,50.0
Minnesota Wild,2012-13,48,26,19,0,3,55,22,.573,118,125,4,2.46,2.60,17.9,80.7,28.8,27.1,52.5
Minnesota Wild,2000-01,82,25,39,13,5,68,0,.415,168,210,0,2.05,2.56,9.3,84.7,24.6,28.1,48.1
Anaheim Ducks,2000-01,82,25,41,11,5,66,0,.402,188,245,0,2.29,2.99,17.7,81.8,25.9,29.5,48.3
Columbus Blue Jackets,2003-04,82,25,45,8,4,62,0,.378,177,238,0,2.16,2.90,14.5,85.2,27.8,32.0,47.8
Edmonton Oilers,2010-11,82,25,45,0,12,62,23,.378,191,260,2,2.33,3.17,14.5,76.9,26.7,31.7,44.2
San Jose Sharks,2012-13,48,25,16,0,7,57,17,.594,116,112,8,2.42,2.33,19.5,85.0,31.8,29.0,53.4
Ottawa Senators,2012-13,48,25,17,0,6,56,21,.583,112,100,4,2.33,2.08,15.9,88.0,33.1,31.3,49.2
Florida Panthers,2002-03,82,24,36,13,9,70,0,.427,176,237,0,2.15,2.89,14.1,81.5,27.2,33.2,46.2
Tampa Bay Lightning,2008-09,82,24,40,0,18,66,21,.402,207,269,3,2.52,3.28,17.8,78.0,28.5,32.9,50.1
Edmonton Oilers,2014-15,82,24,44,0,14,62,19,.378,193,276,5,2.35,3.37,17.7,76.7,28.4,30.0,48.2
Tampa Bay Lightning,2000-01,82,24,47,6,5,59,0,.360,201,280,0,2.45,3.41,12.3,82.9,24.6,31.2,46.9
Arizona Coyotes,2014-15,82,24,50,0,8,56,19,.341,165,267,5,2.01,3.26,20.0,76.7,29.2,33.2,51.8
Detroit Red Wings,2012-13,48,24,16,0,8,56,22,.583,122,110,2,2.54,2.29,18.9,81.7,30.1,27.5,50.8
Columbus Blue Jackets,2012-13,48,24,17,0,7,55,19,.573,115,115,5,2.40,2.40,14.2,82.6,26.7,29.9,52.0
New York Islanders,2012-13,48,24,17,0,7,55,20,.573,135,136,4,2.81,2.83,19.9,80.3,30.9,28.2,49.7
Winnipeg Jets,2012-13,48,24,21,0,3,51,22,.531,126,141,2,2.63,2.94,13.8,79.7,28.9,29.7,48.9
Atlanta Thrashers,2000-01,82,23,45,12,2,60,0,.366,211,289,0,2.57,3.52,13.7,77.9,27.9,32.4,46.1
Washington Capitals,2003-04,82,23,46,10,3,59,0,.360,186,253,0,2.27,3.09,19.8,81.3,23.7,31.5,49.0
Pittsburgh Penguins,2003-04,82,23,47,8,4,58,0,.354,190,303,0,2.32,3.70,18.1,77.2,24.7,33.2,47.2
Buffalo Sabres,2014-15,82,23,51,0,8,54,15,.329,153,269,8,1.87,3.28,13.4,75.1,24.2,35.6,44.9
Philadelphia Flyers,2012-13,48,23,22,0,3,49,22,.510,132,139,1,2.75,2.90,21.6,85.9,29.0,28.6,48.5
Phoenix Coyotes,2003-04,82,22,36,18,6,68,0,.415,188,245,0,2.29,2.99,14.5,82.2,26.5,30.6,48.9
Florida Panthers,2000-01,82,22,38,13,9,66,0,.402,200,246,0,2.44,3.00,13.0,83.9,26.5,31.2,48.5
Carolina Hurricanes,2002-03,82,22,43,11,6,61,0,.372,171,240,0,2.09,2.93,13.3,81.9,29.4,28.4,52.9
Florida Panthers,2001-02,82,22,44,10,6,60,0,.366,180,250,0,2.20,3.05,14.7,80.7,26.9,32.5,46.1
Pittsburgh Penguins,2005-06,82,22,46,0,14,58,21,.354,243,310,1,2.96,3.78,19.0,78.8,28.0,33.2,45.9
Columbus Blue Jackets,2001-02,82,22,47,8,5,57,0,.348,164,255,0,2.00,3.11,14.0,83.0,25.0,30.1,50.0
Philadelphia Flyers,2006-07,82,22,48,0,12,56,21,.341,213,297,1,2.60,3.62,13.8,84.5,28.8,32.6,47.1
Dallas Stars,2012-13,48,22,22,0,4,48,20,.500,128,141,2,2.67,2.94,16.9,81.0,26.3,31.0,47.2
St. Louis Blues,2005-06,82,21,46,0,15,57,17,.348,193,284,4,2.35,3.46,14.6,82.2,28.5,30.6,50.6
Buffalo Sabres,2013-14,82,21,51,0,10,52,14,.317,150,243,7,1.83,2.96,14.4,81.4,26.3,34.3,46.8
New York Islanders,2000-01,82,21,51,7,3,52,0,.317,185,268,0,2.26,3.27,13.2,82.2,27.5,29.0,48.7
Phoenix Coyotes,2012-13,48,21,18,0,9,51,17,.531,121,125,4,2.52,2.60,15.4,79.9,30.9,30.6,52.0
Buffalo Sabres,2012-13,48,21,21,0,6,48,14,.500,118,139,7,2.46,2.90,14.1,79.2,27.9,33.5,46.2
Chicago Blackhawks,2003-04,82,20,43,11,8,59,0,.360,188,259,0,2.29,3.16,16.0,83.5,29.3,30.7,49.4
Atlanta Thrashers,2001-02,82,19,47,11,5,54,0,.329,187,288,0,2.28,3.51,12.1,81.8,24.2,35.5,46.3
New Jersey Devils,2012-13,48,19,19,0,10,48,17,.500,110,122,2,2.29,2.54,15.9,81.1,28.4,23.1,48.2
Edmonton Oilers,2012-13,48,19,22,0,7,45,17,.469,123,131,2,2.56,2.73,19.5,83.4,26.8,32.8,46.1
Carolina Hurricanes,2012-13,48,19,25,0,4,42,18,.438,127,159,1,2.65,3.31,13.9,77.6,32.2,32.2,50.2
Calgary Flames,2012-13,48,19,25,0,4,42,19,.438,128,157,0,2.67,3.27,18.7,81.5,26.9,29.4,46.6
Tampa Bay Lightning,2012-13,48,18,26,0,4,40,17,.417,147,147,1,3.06,3.06,19.0,80.6,27.6,30.2,51.2
Nashville Predators,2012-13,48,16,23,0,9,41,14,.427,109,133,2,2.27,2.77,16.4,75.5,25.9,27.8,49.7
Colorado Avalanche,2012-13,48,16,25,0,7,39,14,.406,114,150,2,2.38,3.13,15.0,80.3,29.5,31.4,51.1
Florida Panthers,2012-13,48,15,27,0,6,36,12,.375,109,170,3,2.27,3.54,20.4,74.2,29.2,31.3,49.4
