Name,Position,Birth_Date,Height,Weight
Evgeny Medvedev,D,8/27/1982,6-3 ft,187
Derek Meech,D,4/21/1984,5-11 ft,200
Gerry Meehan,C,9/3/1946,6-2 ft,200
Brent Meeke,D,4/10/1952,5-11 ft,175
Howie Meeker,RW,11/4/1924,5-9 ft,165
Mike Meeker,RW,2/23/1958,5-11 ft,195
Harry Meeking,LW,11/04/1894,5-7 ft,160
Dmitri Megalinsky,D,4/15/1985,,
Wade Megan,C,7/22/1990,,
Paul Meger,LW,2/17/1929,5-7 ft,160
Jaycob Megna,D,12/10/1992,,
Jayson Megna,C,2/1/1990,6-1 ft,195
Vaclav Meidl,C,5/27/1986,,
Timo Meier,RW,10/8/1996,6-1 ft,209
Ron Meighan,D,5/26/1963,6-3 ft,195
Barrie Meissner,LW,7/26/1946,5-9 ft,165
Dick Meissner,RW,1/6/1940,5-11 ft,200
Anssi Melametsa,RW,6/21/1961,6-0 ft,191
Dean Melanson,D,11/19/1973,5-11 ft,190
Mathieu Melanson,LW,8/31/1985,,
Roland Melanson,G,6/28/1960,5-10 ft,185
Julian Melchiori,D,12/6/1991,6-5 ft,214
Hampus Melen,RW,2/28/1995,,
Josef Melichar,D,1/20/1979,6-2 ft,220
Bjorn Melin,RW,7/4/1981,6-1 ft,205
Roger Melin,LW,4/25/1956,6-4 ft,195
James Melindy,D,12/11/1993,6-2 ft,192
Scott Mellanby,RW,6/11/1966,6-1 ft,210
Tom Mellor,D,1/27/1950,6-1 ft,185
Gerry Melnyk,C,9/16/1934,5-10 ft,165
Larry Melnyk,D,2/21/1960,6-0 ft,195
Denis Meloche,C,6/19/1952,5-9 ft,175
Eric Meloche,RW,5/1/1976,5-10 ft,202
Gilles Meloche,G,7/12/1950,5-10 ft,185
Nicolas Meloche,D,7/18/1997,6-2 ft,204
Chris Meloff,D,5/7/1952,5-11 ft,180
Barry Melrose,D,7/15/1956,6-0 ft,205
Hillary Menard,LW,1/15/1934,5-8 ft,165
Howie Menard,C,4/28/1942,5-8 ft,160
Paul Menard,G,5/22/1952,5-11 ft,165
Lukas Mensator,G,8/18/1984,,
Justin Mercier,F,6/25/1987,5-11 ft,190
Vic Mercredi,C,3/31/1953,5-11 ft,185
Greg Meredith,RW,2/23/1958,6-1 ft,210
Nicholas Merkley,RW,5/23/1997,5-10 ft,191
Glenn Merkosky,C,4/8/1959,5-10 ft,185
Bill Meronek,C,4/15/1917,5-9 ft,155
Barry Merrell,C,5/16/1945,6-1 ft,178
Wayne Merrick,C,4/23/1952,6-1 ft,195
Horace Merrill,D,11/30/1885,5-9 ft,176
Jonathon Merrill,D,2/3/1992,6-3 ft,205
Michael Mersch,LW,10/2/1992,6-2 ft,218
Jan Mertzig,D,7/18/1970,6-4 ft,218
Elvis Merzlikins,G,4/13/1994,6-3 ft,187
Charles-Antoine Messier,C,11/4/1988,,
Eric Messier,LW,10/29/1973,6-2 ft,195
Joby Messier,D,3/2/1970,6-0 ft,200
Mark Messier,LW/C,1/18/1961,6-1 ft,210
Mitch Messier,C,8/21/1965,6-2 ft,200
Paul Messier,C,1/27/1958,6-1 ft,185
Eric Mestery,D,5/28/1990,,
Andrej Meszaros,D,10/13/1985,6-2 ft,223
Garrett Metcalf,G,3/5/1996,6-2 ft,181
Scott Metcalfe,LW,1/6/1967,6-0 ft,195
Victor Mete,D,6/7/1998,5-9 ft,174
Gerry Methe,D,12/12/1951,5-10 ft,170
Marc Methot,D,6/21/1985,6-3 ft,220
Glen Metropolit,C,6/25/1974,5-10 ft,196
Don Metz,RW,1/10/1916,5-10 ft,165
Nick Metz,LW,2/16/1914,5-11 ft,160
Garrett Meurs,C,1/12/1993,5-11 ft,169
Freddy Meyer,D,1/4/1981,5-10 ft,185
Stefan Meyer,LW,7/20/1985,6-2 ft,200
Josh Meyers,D,12/7/1985,,
Branislav Mezei,D,10/8/1980,6-4 ft,235
Corrado Micalef,G,4/20/1961,5-8 ft,172
Milan Michalek,RW,12/7/1984,6-2 ft,225
Steve Michalek,G,8/6/1993,6-2 ft,205
Zbynek Michalek,D,12/23/1982,6-2 ft,210
Art Michaluk,D,5/4/1923,6-0 ft,180
John Michaluk,LW,11/2/1928,5-10 ft,155
Alfie Michaud,G,11/6/1976,5-10 ft,179
Olivier Michaud,G,9/14/1983,5-11 ft,179
Sylvain Michaud,G,2/1/1985,,
Dave Michayluk,LW,5/18/1962,5-10 ft,189
Joe Micheletti,D,10/24/1954,6-0 ft,185
Pat Micheletti,C,12/11/1963,5-10 ft,175
Jindrich Micka,,,,
Tomas Micka,LW,6/7/1983,,
Larry Mickey,RW,10/21/1943,5-11 ft,175
Nick Mickoski,LW,12/7/1927,6-1 ft,183
Max Middendorf,RW,8/18/1967,6-4 ft,210
Lindsay Middlebrook,G,9/7/1955,5-7 ft,160
Jacob Middleton,D,1/2/1996,6-2 ft,200
Keaton Middleton,D,2/10/1998,6-5 ft,234
Rick Middleton,RW,12/4/1953,5-11 ft,170
Kevin Miehm,C,9/10/1969,6-2 ft,200
Andy Miele,C,4/15/1988,5-9 ft,175
Juho Mielonen,D,3/1/1987,,
Antti Miettinen,RW,7/3/1980,6-0 ft,190
Rudy Migay,C,11/18/1928,5-6 ft,150
John Migneault,LW,2/4/1949,5-11 ft,180
Vladimir Mihalik,D,1/29/1987,6-8 ft,246
Petr Mika,LW,2/12/1979,6-4 ft,194
Jarmo Mikatolo,,,,
Alexander Mikhailishin,D,2/24/1986,,
Konstantin Mikhailov,C,2/12/1983,,
Alexei Mikhnov,LW,8/31/1982,6-5 ft,200
Andrei Mikhnov,C,11/26/1983,,
Stan Mikita,C/RW,5/20/1940,5-9 ft,169
Bill Mikkelson,D,5/21/1948,6-0 ft,185
Brendan Mikkelson,D,6/22/1987,6-3 ft,210
Niko Mikkola,D,4/27/1996,6-4 ft,185
Tuomas Mikkonen,LW,3/25/1983,,
Jim Mikol,LW/D,6/11/1938,6-0 ft,175
Oleg Mikulchik,D,6/27/1964,6-2 ft,200
Juraj Mikus,D,11/30/1988,,
Juraj Mikus,RW,2/22/1987,,
Tom Milani,RW,4/13/1952,5-7 ft,165
Sonny Milano,LW,5/12/1996,6-1 ft,205
Mike Milbury,D,6/17/1952,6-1 ft,200
Jeff Miles,C,7/12/1981,,
Jake Milford,LW,7/29/1916,5-9 ft,198
Hib Milks,LW/C,04/01/1899,5-11 ft,165
Kieran Millan,G,8/31/1989,,
Al Millar,G,9/18/1929,5-11 ft,175
Craig Millar,D,7/12/1976,6-2 ft,212
Hugh Millar,D,4/3/1921,5-9 ft,200
Mike Millar,RW,4/28/1965,5-10 ft,170
Corey Millen,C,3/30/1964,5-7 ft,170
Greg Millen,G,6/25/1957,5-9 ft,175
Aaron Miller,D,8/11/1971,6-3 ft,210
Andrew Miller,F,9/18/1988,5-10 ft,178
Bill Miller,C/D,8/1/1908,6-0 ft,160
Bob Miller,C,9/28/1956,5-11 ft,180
Brad Miller,D,7/23/1969,6-4 ft,220
Colin Miller,D,10/29/1992,6-1 ft,196
Drew Miller,LW,2/17/1984,6-2 ft,183
Earl Miller,LW,9/12/1905,5-11 ft,180
J.T. Miller,C,3/14/1993,6-1 ft,206
Jack Miller,C,9/16/1925,5-8 ft,155
Jason Miller,LW,3/1/1971,6-1 ft,190
Jay Miller,LW,7/16/1960,6-2 ft,210
Joe Miller,G,10/6/1900,5-9 ft,170
Kelly Miller,LW,3/3/1963,5-11 ft,195
Kevan Miller,D,11/15/1987,6-2 ft,210
Kevin Miller,C,9/2/1965,5-11 ft,190
Kip Miller,C,6/11/1969,5-10 ft,190
Paul Miller,C,8/21/1959,5-10 ft,170
Perry Miller,D,6/24/1952,6-1 ft,194
Ryan Miller,G,7/17/1980,6-2 ft,168
Tom Miller,C,3/31/1947,6-0 ft,187
Tyler Miller,D,9/15/1986,,
Warren Miller,RW,1/1/1954,6-0 ft,180
Norm Milley,RW,2/14/1980,6-0 ft,211
Brad Mills,C,5/3/1983,6-0 ft,195
Craig Mills,RW,8/27/1976,6-0 ft,190
Duncan Milroy,RW,2/8/1983,6-0 ft,198
Oleg Minakov,RW,2/18/1983,,
Chris Minard,C,11/18/1981,6-1 ft,205
Mike Minard,G,11/1/1976,6-2 ft,200
John Miner,D,8/28/1965,5-10 ft,180
Graham Mink,RW,5/21/1979,6-2 ft,225
Gerry Minor,C,10/27/1958,5-8 ft,178
Eddie Mio,G,1/31/1954,5-10 ft,180
Igor Mirnov,LW,9/19/1984,,
Andrei Mironov,D,7/29/1994,6-2 ft,194
Boris Mironov,D,3/21/1972,6-3 ft,223
Dmitri Mironov,D,12/25/1965,6-4 ft,224
Georgy Misharin,D,5/11/1985,,
Jason Missiaen,G,4/25/1990,6-0 ft,220
Matthew Mistele,LW,10/17/1995,6-1 ft,190
John Miszuk,D,9/29/1940,6-1 ft,192
Bill Mitchell,D,2/22/1930,5-11 ft,180
Dale Mitchell,RW,4/9/1989,,
Garrett Mitchell,RW,9/2/1991,5-11 ft,186
Herb Mitchell,LW,01/04/1896,5-10 ft,190
Jeff Mitchell,C/RW,5/16/1975,6-1 ft,190
John Mitchell,C,1/22/1985,6-1 ft,204
Mike Mitchell,G,07/09/1893,6-0 ft,
Red Mitchell,D,9/6/1912,5-10 ft,185
Roy Mitchell,D,3/14/1969,6-1 ft,199
Torrey Mitchell,C,1/30/1985,5-11 ft,190
Willie Mitchell,D,4/23/1977,6-3 ft,210
Zack Mitchell,RW,1/7/1993,6-1 ft,184
Mark Mitera,D,10/22/1987,,
Mike Modano,C,6/7/1970,6-3 ft,212
Mattias Modig,G,4/1/1987,,
Fredrik Modin,LW,10/8/1974,6-4 ft,220
Jaroslav Modry,D,2/27/1971,6-2 ft,220
Bill Moe,D,10/2/1916,5-11 ft,170
Travis Moen,LW,4/6/1982,6-2 ft,215
Lyle Moffat,LW,3/19/1948,5-10 ft,180
Mike Moffat,G,2/4/1962,5-10 ft,165
Ron Moffat,LW,8/21/1905,5-11 ft,180
Luke Moffatt,C,6/11/1992,,
Lee Moffie,D,8/29/1990,,
Sandy Moger,C,3/21/1969,6-4 ft,220
Alexander Mogilny,RW,2/18/1969,6-0 ft,210
Mike Moher,RW,3/26/1962,5-10 ft,180
Doug Mohns,LW/D,12/13/1933,6-0 ft,185
Lloyd Mohns,D,7/31/1921,5-9 ft,185
Kyle Moir,G,5/25/1986,,
Tomas Mojzis,D,5/2/1982,6-1 ft,192
Carl Mokosak,LW,9/22/1962,6-1 ft,180
John Mokosak,D,9/7/1963,5-11 ft,200
Emil Molin,RW,2/3/1993,,
Lars Molin,LW,5/7/1956,6-0 ft,180
Ryan Molle,D,1/29/1989,,
Mike Moller,RW,6/16/1962,6-0 ft,194
Oscar Moller,C,1/22/1989,5-10 ft,189
Randy Moller,D,8/23/1963,6-2 ft,210
Mitch Molloy,LW,10/10/1966,6-3 ft,212
Larry Molyneaux,D,7/9/1912,5-11 ft,208
Sergio Momesso,LW,9/4/1965,6-3 ft,215
Garry Monahan,LW,10/20/1946,6-0 ft,199
Hartland Monahan,RW,3/29/1951,5-11 ft,197
Sean Monahan,C,10/12/1994,6-3 ft,195
Armand Mondou,LW,6/27/1905,5-10 ft,175
Benoit Mondou,C,5/3/1985,,
Pierre Mondou,C,11/27/1955,5-10 ft,185
Michel Mongeau,C,2/9/1965,5-9 ft,190
Bob Mongrain,C,8/31/1959,5-10 ft,165
Lauri Mononen,RW,3/22/1950,6-0 ft,185
Steve Montador,D,12/21/1979,6-0 ft,210
Hank Monteith,LW,10/2/1945,5-10 ft,170
Samuel Montembeault,G,10/30/1996,6-2 ft,173
Jim Montgomery,C,6/30/1969,5-10 ft,180
Kevin Montgomery,D,4/4/1988,,
Brandon Montour,D,4/11/1994,5-11 ft,172
Al Montoya,G,2/13/1985,6-2 ft,209
Lance Monych,RW,7/25/1984,,
Andy Moog,G,2/18/1960,5-8 ft,175
Nathan Moon,C,1/4/1990,,
Alfie Moore,G,12/1/1905,5-11 ft,155
Barrie Moore,LW,5/22/1975,5-11 ft,198
Dickie Moore,LW,1/6/1931,5-10 ft,168
Dominic Moore,C,8/3/1980,6-0 ft,192
Greg Moore,RW,3/26/1984,6-1 ft,225
John Moore,D,11/19/1990,6-3 ft,210
Mike Moore,D,12/12/1984,6-1 ft,210
Robbie Moore,G,5/3/1954,5-5 ft,155
Steve Moore,C,9/22/1978,6-2 ft,205
Amby Moran,D,04/03/1895,6-0 ft,200
Brad Moran,C,3/20/1979,5-11 ft,182
Brent Moran,G,7/5/1996,6-3 ft,186
Ian Moran,D,8/24/1972,6-0 ft,205
Paddy Moran,G,03/11/1877,5-11 ft,180
David Moravec,RW,3/24/1973,6-0 ft,180
Jay More,D,1/12/1969,6-1 ft,210
Ethan Moreau,LW,9/22/1975,6-3 ft,219
Brian Morenz,C,5/11/1949,5-10 ft,185
Howie Morenz,C,9/21/1902,5-9 ft,165
Angelo Moretto,C,9/18/1953,6-3 ft,212
Gavin Morgan,C,7/9/1976,5-11 ft,190
Jason Morgan,C,10/9/1976,6-1 ft,200
Ron Morgan,LW,5/25/1951,5-11 ft,190
Jeremy Morin,LW,4/16/1991,6-1 ft,189
Pete Morin,LW,12/8/1915,5-6 ft,150
Samuel Morin,D,7/12/1995,6-6 ft,202
Stephane Morin,C,3/27/1969,6-0 ft,174
Travis Morin,C,1/9/1984,6-1 ft,195
Dave Morisset,RW,4/6/1981,6-2 ft,195
Dave Morissette,LW,12/24/1971,6-1 ft,224
Jean-Guy Morissette,G,12/16/1937,5-8 ft,140
Joey Mormina,D,6/29/1982,6-6 ft,220
Samuel Morneau,LW,2/10/1990,,
Marc Moro,D,7/17/1977,6-1 ft,218
Mitchell Moroz,LW,5/3/1994,,
Aleksey Morozov,RW,2/16/1977,6-1 ft,204
Wayne Morrin,D,5/13/1955,5-10 ft,185
Bernie Morris,C/RW,08/21/1890,5-7 ft,145
Bill Morris,LW,6/26/1949,6-0 ft,185
Derek Morris,D,8/24/1978,6-0 ft,200
Jon Morris,C,5/6/1966,6-0 ft,175
Mike Morris,RW,7/14/1983,,
Moe Morris,D,1/3/1921,5-8 ft,187
Peter Morris,LW,6/29/1955,5-8 ft,165
Rick Morris,LW,7/5/1946,5-10 ft,175
Ty Morris,LW,2/2/1984,,
Adam Morrison,G,2/9/1991,6-3 ft,192
Brad Morrison,C,1/4/1997,5-11 ft,154
Brendan Morrison,C,8/15/1975,5-11 ft,185
Brett Morrison,C,7/25/1987,,
Cameron Morrison,LW,8/27/1998,6-2 ft,209
Dave Morrison,RW,6/12/1962,6-0 ft,190
Don Morrison,C,7/14/1923,5-10 ft,165
Doug Morrison,RW,2/1/1960,5-11 ft,184
Gary Morrison,RW,11/8/1955,6-2 ft,200
George Morrison,LW,12/24/1948,6-1 ft,170
Jim Morrison,D,10/11/1931,5-10 ft,183
John Morrison,LW,03/04/1895,5-8 ft,163
Jordan Morrison,C,6/4/1986,,
Kevin Morrison,D,10/28/1949,6-0 ft,202
Lew Morrison,RW,2/11/1948,6-0 ft,185
Mark Morrison,C,3/11/1963,5-8 ft,150
Mike Morrison,G,7/11/1979,6-3 ft,194
Rod Morrison,RW,10/7/1925,5-9 ft,160
Shaone Morrisonn,D,12/23/1982,6-4 ft,210
Josh Morrissey,D,3/28/1995,6-0 ft,195
Brenden Morrow,LW,1/16/1979,6-0 ft,205
Dave Morrow,D/LW,4/4/1957,6-0 ft,180
Joseph Morrow,D,12/9/1992,6-0 ft,199
Josh Morrow,D,6/12/1983,,
Ken Morrow,D,10/17/1956,6-4 ft,210
Scott Morrow,LW,6/18/1969,6-1 ft,185
Thomas Morrow,D,10/21/1983,,
Dean Morton,D,2/27/1968,6-1 ft,196
Cleland Mortson,RW,3/29/1934,5-10 ft,165
Gus Mortson,D,1/24/1925,5-11 ft,190
Ken Mosdell,C,7/13/1922,6-1 ft,170
Wayne Mosdell,D,12/4/1944,6-3 ft,185
Simon Moser,LW,3/10/1989,6-2 ft,216
Bill Mosienko,RW,11/2/1921,5-8 ft,160
Dave Moss,LW,12/28/1981,6-4 ft,210
Tyler Moss,G,6/29/1975,6-0 ft,185
Johan Motin,D,10/10/1989,6-2 ft,220
Darwin Mott,LW,8/19/1950,5-9 ft,165
Morris Mott,RW,5/25/1946,5-8 ft,165
Mike Mottau,D,3/19/1978,6-0 ft,190
Tyler Motte,C,3/10/1995,5-9 ft,188
Alex Motter,C,6/20/1913,6-0 ft,175
Joe Motzko,RW,3/14/1980,6-0 ft,184
Kael Mouillierat,LW,12/9/1987,6-0 ft,188
Matt Moulson,LW,11/1/1983,6-1 ft,200
Nick Moutrey,C,6/24/1995,6-2 ft,208
Jacob Moverare,D,8/31/1998,6-2 ft,198
Bob Mowat,RW,10/5/1949,5-9 ft,165
Johnny Mowers,G,10/29/1916,5-11 ft,185
Mark Mowers,C,2/16/1974,5-11 ft,174
Jim Moxey,RW,5/28/1953,6-1 ft,190
Tyler Moy,C,7/18/1995,6-0 ft,195
Vojtech Mozik,D,12/26/1992,6-3 ft,200
Sergei Mozyakin,LW,3/30/1981,,
Jaroslav Mrazek,D,1/14/1986,,
Jerome Mrazek,G,10/15/1951,5-9 ft,160
Justin Mrazek,G,7/21/1985,,
Petr Mrazek,G,2/14/1992,6-2 ft,183
Rick Mrozik,C,1/2/1975,6-2 ft,185
Bill Muckalt,RW,7/15/1974,6-1 ft,200
Chris Mueller,C,3/6/1986,5-11 ft,210
Marcel Mueller,LW,7/10/1988,6-3 ft,232
Mirco Mueller,D,3/21/1995,6-3 ft,205
Peter Mueller,C,4/14/1988,6-2 ft,204
Aidan Muir,W,8/21/1995,,
Bryan Muir,D,6/8/1973,6-3 ft,224
Andrei Mukhachev,D,7/21/1980,,
Richard Mulhern,D,3/1/1955,6-1 ft,188
Ryan Mulhern,C,1/11/1973,6-1 ft,202
Brian Mullen,RW,3/16/1962,5-10 ft,180
Joe Mullen,RW,2/26/1957,5-9 ft,180
Kirk Muller,LW,2/8/1966,6-0 ft,205
Robert Muller,G,6/25/1980,,
Zdenek Muller,,,,
Jimmy Mullin,RW,2/24/1992,,
Wayne Muloin,D,12/24/1941,5-8 ft,175
Glenn Mulvenna,C,2/18/1967,5-11 ft,187
Grant Mulvey,RW,9/17/1956,6-4 ft,200
Paul Mulvey,LW,9/27/1958,6-4 ft,220
Harry Mummery,D,08/25/1889,5-11 ft,220
Ryan Munce,G,4/16/1985,,
Craig Muni,D,7/19/1962,6-3 ft,208
Adam Munro,G,11/12/1982,6-2 ft,219
Dunc Munro,D,1/19/1901,5-8 ft,190
Gerry Munro,D,11/28/1897,5-10 ft,175
Bob Murdoch,D,11/20/1946,6-0 ft,200
Bob Murdoch,RW,1/29/1954,5-11 ft,191
Don Murdoch,RW,10/25/1956,5-11 ft,180
Murray Murdoch,LW,5/19/1904,5-10 ft,180
Matt Murley,LW,12/17/1979,6-1 ft,206
Brian Murphy,C/LW,8/20/1947,6-3 ft,200
Connor Murphy,D,3/26/1993,6-4 ft,212
Cory Murphy,D,2/13/1978,5-9 ft,175
Curtis Murphy,D,12/3/1975,5-8 ft,185
Gord Murphy,D,3/23/1967,6-2 ft,195
Hal Murphy,G,7/6/1927,5-9 ft,140
Joe Murphy,RW,10/16/1967,6-0 ft,190
Larry Murphy,D,3/8/1961,6-2 ft,210
Mike Murphy,RW,9/12/1950,6-0 ft,190
Mike Murphy,G,1/15/1989,5-11 ft,172
Patrick Murphy,LW,7/24/1983,,
Rob Murphy,C,4/7/1969,6-3 ft,205
Ron Murphy,LW,4/10/1933,5-11 ft,185
Ryan Murphy,D,3/31/1993,5-11 ft,185
Wade Murphy,RW,10/22/1993,,
Allan Murray,D,11/10/1908,5-7 ft,165
Andrew Murray,C,11/6/1981,6-2 ft,210
Bob Murray,D,7/16/1948,6-1 ft,195
Bob Murray,D,11/26/1954,5-10 ft,183
Brady Murray,C,8/17/1984,5-10 ft,185
Brett Murray,LW,7/20/1998,6-4 ft,217
Chris Murray,RW,10/25/1974,6-2 ft,213
Douglas Murray,D,3/12/1980,6-3 ft,240
Garth Murray,C,9/17/1982,6-2 ft,210
Glen Murray,RW,11/1/1972,6-3 ft,218
Jim Murray,D,11/25/1943,6-1 ft,165
Ken Murray,D,1/22/1948,6-0 ft,180
Leo Murray,C/LW,2/15/1906,5-9 ft,165
Marty Murray,C,2/16/1975,5-9 ft,180
Matthew Murray,G,5/25/1994,6-4 ft,178
Mickey Murray,G,10/14/1898,5-10 ft,168
Mike Murray,C,8/29/1966,6-0 ft,195
Pat Murray,LW,8/20/1969,6-2 ft,185
Randy Murray,D,8/24/1945,6-1 ft,195
Rem Murray,C/LW,10/9/1972,6-2 ft,200
Rob Murray,C,4/4/1967,6-1 ft,180
Ryan Murray,D,9/27/1993,6-1 ft,211
Terry Murray,D,7/20/1950,6-2 ft,190
Troy Murray,C,7/31/1962,6-1 ft,195
Jan Mursak,LW,1/20/1988,5-11 ft,190
Dana Murzyn,D,12/9/1966,6-2 ft,200
Adam Musil,C,3/26/1997,6-2 ft,202
David Musil,D,4/9/1993,6-3 ft,198
Frantisek Musil,D,12/17/1964,6-3 ft,215
Jason Muzzatti,G,2/3/1970,6-2 ft,210
Jake Muzzin,D,2/21/1989,6-3 ft,216
Hap Myers,D,7/28/1947,5-11 ft,195
Murray Myers,RW,2/9/1952,6-0 ft,185
Tyler Myers,D,2/1/1990,6-8 ft,229
Brantt Myhres,RW,3/18/1974,6-3 ft,220
Vic Myles,D,11/12/1915,6-1 ft,208
Jarmo Myllys,G,5/29/1965,5-8 ft,160
Sergei Mylnikov,G,10/6/1958,5-10 ft,176
Phil Myre,G,11/1/1948,6-1 ft,185
Wesley Myron,LW,8/16/1992,,
Anders Myrvold,D,8/12/1975,6-2 ft,200
Vladimir Myshkin,G,6/19/1955,,
Dmitri Nabokov,C/LW,1/4/1977,6-2 ft,209
Evgeni Nabokov,G,7/25/1975,6-0 ft,202
Don Nachbaur,C,1/30/1959,6-2 ft,200
Zachary Nagelvoort,G,1/30/1994,6-2 ft,190
Kory Nagy,LW,10/12/1989,,
Ladislav Nagy,LW,6/1/1979,5-11 ft,192
Jim Nahrgang,D,4/17/1951,6-0 ft,185
Jakub Nakladal,D,12/30/1987,6-2 ft,212
Ivan Nalimov,G,8/12/1994,6-5 ft,211
John Namestnikov,D,10/9/1971,5-11 ft,190
Vladislav Namestnikov,C,11/22/1992,5-11 ft,180
Lou Nanne,D/RW,6/2/1941,6-1 ft,185
Louis Nanne,LW,6/18/1994,,
Tyler Nanne,D,3/17/1996,5-10 ft,174
Rich Nantais,LW,10/27/1954,5-11 ft,188
Julien Nantel,C/LW,9/6/1996,6-0 ft,193
Mark Napier,RW,1/28/1957,5-10 ft,182
Bret Nasby,D,3/22/1986,,
Brendon Nash,D,3/31/1987,6-3 ft,214
Rick Nash,LW,6/16/1984,6-4 ft,212
Riley Nash,C,5/9/1989,6-1 ft,200
Tyson Nash,LW,3/11/1975,5-11 ft,191
Fredrik Naslund,LW,2/11/1986,,
Markus Naslund,LW,7/30/1973,6-0 ft,195
Mats Naslund,LW,10/31/1959,5-7 ft,160
Alain Nasreddine,D,7/10/1975,6-1 ft,204
Linus Nassen,D,5/10/1998,5-11 ft,167
Zach Nastasiuk,RW,3/30/1995,,
Kevin Nastiuk,G,7/20/1985,,
Joonas Nattinen,C,1/3/1991,6-3 ft,192
Julius Nattinen,C,1/14/1997,6-1 ft,191
Ralph Nattrass,D,5/26/1925,6-0 ft,185
Ric Nattress,D,5/25/1962,6-2 ft,210
Mike Natyshak,RW,11/29/1963,6-2 ft,201
Gregg Naumenko,G,3/30/1977,6-1 ft,201
Alexander Naurov,RW,3/4/1985,,
Brad Navin,C,6/5/1992,,
Andrei Nazarov,LW,5/22/1974,6-5 ft,242
Viacheslav Nazarov,D,9/1/1949,,
Rumun Ndur,D,7/7/1975,6-2 ft,222
James Neal,LW,9/3/1987,6-2 ft,221
Michael Neal,LW,4/3/1989,,
Robbie Neale,C,4/17/1953,6-0 ft,185
Pat Neaton,D,5/21/1971,6-0 ft,180
Viktor Nechayev,C,1/28/1955,6-1 ft,183
Stan Neckar,D,12/22/1975,6-1 ft,214
Alex Nedeljkovic,G,1/7/1996,5-11 ft,190
Vaclav Nedomansky,RW,3/14/1944,6-2 ft,205
Richard Nedomlel,D,7/1/1993,6-4 ft,204
Andrej Nedorost,LW,4/30/1980,6-1 ft,199
Vaclav Nedorost,C,3/16/1982,6-1 ft,190
Petr Nedved,C,12/9/1971,6-3 ft,196
Zdenek Nedved,RW,3/3/1975,6-0 ft,180
Mike Needham,RW,4/4/1970,5-10 ft,185
Greg Neeld,D,2/25/1955,6-0 ft,190
Bob Neely,LW/D,11/9/1953,6-1 ft,210
Cam Neely,RW,6/6/1965,6-1 ft,218
John Negrin,D,3/25/1989,6-2 ft,195
Chris Neil,RW,6/18/1979,6-1 ft,209
Carl Neill,D,7/6/1996,6-1 ft,213
Eric Neilson,RW,8/18/1984,,
Jim Neilson,D,11/28/1940,6-2 ft,205
Richard Nejezchleb,LW,5/2/1994,6-2 ft,203
Jan Neliba,,,,
Brock Nelson,C,10/15/1991,6-3 ft,206
Casey Nelson,D,7/18/1992,6-1 ft,190
Gordie Nelson,D,5/10/1947,5-8 ft,180
Jeff Nelson,C,12/18/1972,5-11 ft,190
Levi Nelson,C,4/28/1988,,
Logan Nelson,C,9/9/1993,,
Todd Nelson,D,5/11/1969,6-0 ft,201
Sergei Nemchinov,LW,1/14/1964,6-1 ft,205
Ondrej Nemec,D,4/18/1984,,
Jan Nemecek,D,2/14/1976,6-1 ft,220
Patrik Nemeth,D,2/8/1992,6-3 ft,215
Steve Nemeth,C,2/11/1967,5-8 ft,170
David Nemirovsky,RW,8/1/1976,6-2 ft,205
Greg Nemisz,RW,6/5/1990,6-3 ft,197
Joachim Nermark,C,5/12/1993,,
Aaron Ness,D,5/18/1990,5-10 ft,170
Eric Nesterenko,RW,10/31/1933,6-2 ft,197
Nikita Nesterov,D,3/28/1993,5-11 ft,191
Andrej Nestrasil,RW,2/22/1991,6-3 ft,200
Lance Nethery,C,6/28/1957,6-1 ft,185
Kyle Neuber,RW,3/22/1989,,
Ray Neufeld,RW,4/15/1959,6-3 ft,210
Michal Neuvirth,G,3/23/1988,6-1 ft,209
Mike Neville,C,10/11/1904,5-9 ft,168
Bob Nevin,RW,3/18/1938,6-0 ft,185
John Newberry,C,4/8/1962,6-0 ft,190
Kris Newbury,C,2/19/1982,5-11 ft,205
Rick Newell,D,2/18/1948,5-11 ft,180
Dan Newman,LW,1/26/1952,6-1 ft,195
John Newman,C/LW,4/24/1910,5-8 ft,155
Cam Newton,G,2/25/1950,5-11 ft,170
Max Nicastro,D,3/2/1990,,
Scott Nichol,C,12/31/1974,5-8 ft,179
Bernie Nicholls,C,6/24/1961,6-0 ft,185
Josh Nicholls,RW,4/27/1992,,
Al Nicholson,LW,4/26/1936,6-1 ft,180
Ed Nicholson,D,9/9/1923,5-8 ft,180
Hickey Nicholson,LW,9/9/1911,5-10 ft,170
Neil Nicholson,D,9/12/1949,5-11 ft,180
Paul Nicholson,LW,2/16/1954,6-0 ft,190
Valeri Nichushkin,RW,3/4/1995,6-4 ft,205
Matt Nickerson,D,1/11/1985,,
Eric Nickulas,RW,3/25/1975,5-11 ft,206
Graeme Nicolson,D,1/13/1958,6-0 ft,185
Barry Nieckar,LW,12/16/1967,6-3 ft,205
Rob Niedermayer,C,12/28/1974,6-2 ft,203
Scott Niedermayer,D,8/31/1973,6-1 ft,194
Nino Niederreiter,RW,9/8/1992,6-2 ft,211
Jim Niekamp,D,3/11/1946,6-1 ft,185
Andrew Nielsen,D,11/13/1996,6-3 ft,207
Chris Nielsen,RW,2/16/1980,6-2 ft,204
Frans Nielsen,C,4/24/1984,6-1 ft,188
