Name,Position,Birth_Date,Height,Weight
Sean Bergenheim,LW,2/8/1984,5-10 ft,201
Mike Berger,D,6/2/1967,6-0 ft,195
Jean-Claude Bergeron,G,10/14/1968,6-2 ft,192
Marc-Andre Bergeron,D,10/13/1980,5-9 ft,198
Michel Bergeron,RW,11/11/1954,5-10 ft,170
Patrice Bergeron,C,7/24/1985,6-1 ft,195
Yves Bergeron,RW,1/11/1952,5-9 ft,165
Marc Bergevin,D,8/11/1965,6-1 ft,209
Henrik Bergfors,D,5/15/1982,,
Niclas Bergfors,RW,3/7/1987,6-0 ft,200
Johan Berggren,D,5/18/1984,,
Mike Bergin,D,6/30/1988,,
Stefan Bergkvist,D,3/10/1975,6-2 ft,224
Tim Bergland,RW,1/11/1965,6-3 ft,194
Bob Bergloff,D,7/26/1958,6-1 ft,185
Bill Berglund,G,9/24/1948,6-1 ft,185
Bo Berglund,RW,4/6/1955,5-10 ft,175
Christian Berglund,LW,3/12/1980,5-11 ft,195
Filip Berglund,D,5/10/1997,6-3 ft,209
Kristofer Berglund,D,8/12/1988,,
Patrik Berglund,C,6/2/1988,6-4 ft,223
Gary Bergman,D,10/7/1938,5-11 ft,188
Julius Bergman,D,11/2/1995,6-1 ft,187
Thommie Bergman,D,12/10/1947,6-2 ft,200
Jonas Bergqvist,RW,9/26/1962,6-0 ft,185
Fredrik Bergvik,G,2/14/1995,,
Adam Berkhoel,G,5/16/1981,5-11 ft,185
Matthew Berkovitz,D,2/16/1996,6-1 ft,180
Louis Berlinguette,LW,05/26/1887,5-11 ft,175
Ashton Bernard,LW,2/5/1990,,
Daniel Bernhardt,RW,4/11/1996,6-3 ft,191
David Bernhardt,D,12/1/1997,6-3 ft,203
Tim Bernhardt,G,1/17/1958,5-9 ft,160
Jean Bernier,D,7/21/1954,5-10 ft,170
Jonathan Bernier,G,8/7/1988,6-0 ft,184
Marc-Andre Bernier,RW,2/5/1985,,
Serge Bernier,RW,4/29/1947,6-1 ft,190
Steve Bernier,RW,3/31/1985,6-3 ft,220
Reto Berra,G,1/3/1987,6-4 ft,210
Alex Berry,RW,3/6/1986,,
Bob Berry,LW,11/29/1943,6-0 ft,185
Brad Berry,D,4/1/1965,6-2 ft,190
Doug Berry,C,6/3/1957,6-1 ft,190
Fred Berry,C,3/26/1956,5-9 ft,175
Ken Berry,LW,6/21/1960,5-9 ft,175
Rick Berry,D,11/4/1978,6-2 ft,210
Daniel Berthiaume,G,1/26/1966,5-9 ft,155
Adam Berti,LW,7/1/1986,6-3 ft,198
Simon Bertilsson,D,4/19/1991,,
Dan Bertram,RW,1/14/1987,,
Eric Bertrand,LW,4/16/1975,6-1 ft,198
Christoph Bertschy,C,4/5/1994,5-10 ft,186
Todd Bertuzzi,RW,2/2/1975,6-3 ft,229
Tyler Bertuzzi,LW,2/24/1995,6-0 ft,198
Craig Berube,LW,12/17/1965,6-1 ft,210
Jean-Francois Berube,G,7/13/1991,6-1 ft,177
Jean-Sebastien Berube,LW,7/20/1990,,
Armands Berzins,C,12/27/1983,,
Tyler Beskorowany,G,4/28/1990,6-4 ft,208
Phil Besler,RW,12/9/1913,5-11 ft,180
Grant Besse,RW,7/14/1994,,
Pete Bessone,D,1/13/1913,5-11 ft,200
